Date,Close,buy_signal,sell_signal,SMA,STD,Upper,Lower
21,120.035,nan,nan,120.04794999999999,0.009478792117142866,120.06690758423427,120.0289924157657
22,120.03,nan,nan,120.04795000000001,0.009478792117142868,120.0669075842343,120.02899241576573
23,120.03,nan,nan,120.04745000000003,0.010126573951737846,120.0677031479035,120.02719685209655
24,120.02,120.02,nan,120.04645000000002,0.011681074436884455,120.0698121488738,120.02308785112625
25,120.02,nan,nan,120.04545000000003,0.012974879575551115,120.07139975915113,120.01950024084893
26,120.03,nan,nan,120.04400000000003,0.013000000000002333,120.07000000000004,120.01800000000001
27,120.035,nan,nan,120.04275000000003,0.012597122687346668,120.06794424537472,120.01755575462533
28,120.035,nan,nan,120.0415,0.012051970793196696,120.06560394158639,120.01739605841361
29,120.03,nan,nan,120.04,0.01151086443322414,120.06302172886646,120.01697827113355
30,120.03,nan,nan,120.03900000000003,0.011467344941182732,120.06193468988239,120.01606531011767
31,120.03,nan,nan,120.03775000000003,0.011008519428154732,120.05976703885634,120.01573296114373
32,120.03,nan,nan,120.03650000000002,0.010380269746015748,120.05726053949205,120.01573946050799
33,120.03,nan,nan,120.03525000000002,0.009549214627394135,120.0543484292548,120.01615157074524
34,120.03,nan,nan,120.03450000000002,0.009340770846136664,120.0531815416923,120.01581845830775
35,120.03,nan,nan,120.03400000000002,0.009300537618870916,120.05260107523776,120.01539892476228
36,120.03,nan,nan,120.03300000000002,0.008573214099743355,120.0501464281995,120.01585357180053
37,120.03,nan,nan,120.03175000000002,0.006941721688459106,120.04563344337693,120.0178665566231
38,120.03,nan,nan,120.0305,0.004444097208658628,120.03938819441733,120.02161180558268
39,120.03,nan,nan,120.03025,0.004322904116448685,120.0388958082329,120.0216041917671
40,120.03,nan,nan,120.02975,0.0036996621467375646,120.03714932429348,120.02235067570653
41,120.03,nan,nan,120.02950000000001,0.0035000000000006744,120.03650000000002,120.02250000000001
42,120.03,nan,nan,120.02950000000001,0.0035000000000006744,120.03650000000002,120.02250000000001
43,120.035,nan,nan,120.02974999999999,0.0036996621467375638,120.03714932429347,120.02235067570652
44,120.02,nan,nan,120.02974999999999,0.003699662146737566,120.03714932429347,120.02235067570652
45,120.02,nan,nan,120.02974999999999,0.003699662146737566,120.03714932429347,120.02235067570652
