Date,Close,RSI
21:00,275.59,
21:01,275.65,
21:02,275.525,
21:03,275.46,
21:04,275.4,
21:05,275.24,
21:06,275.3,
21:07,274.99,
21:08,274.99,
21:09,275.05,
21:10,274.85,
21:11,274.66,
21:12,274.655,
21:13,274.67,
21:14,274.59,14.028776978419856
21:15,274.37,8.709677419357547
21:16,274.405,11.643835616439148
21:17,274.76,30.000000000000966
21:18,274.705,30.08595988538771
21:19,274.97,42.70270270270373
21:20,275.25,48.79227053140075
21:21,275.46,61.928934010151025
21:22,275.265,56.35103926096922
21:24,275.31,56.04651162790651
21:25,275.195,58.353510895882614
21:26,275.25,65.28497409326265
21:27,275.23,64.78149100257147
21:28,275.35,66.58536585365862
21:29,275.29,67.24137931034619
21:30,275.28,74.99999999999844
21:32,275.26,73.68421052631547
21:33,275.23,65.8783783783791
21:34,275.19,66.55290102389088
21:35,275.22,60.16260162601611
21:36,275.15,45.098039215685624
21:37,275.32,42.85714285714451
21:38,275.27,50.29940119760447
21:39,275.43,56.315789473683395
21:40,275.55,68.58638743455292
21:41,275.37,55.555555555554974
21:42,275.485,60.85106382978536
21:43,275.36,50.42372881355888
21:44,275.37,53.53982300884834
21:45,275.44,56.722689075630676
21:46,275.28,50.75187969924735
21:47,275.48,58.33333333333208
21:48,275.34,54.68749999999856
21:49,275.36,54.402515723269296
21:50,275.42,58.54430379746843
21:51,275.44,54.19580419580383
21:52,275.47,57.09219858156091
21:53,275.39,48.49624060150323
21:54,275.54,49.63235294117687
21:55,275.71,62.59259259258987
21:56,275.74,60.07905138339733
21:57,275.82,68.85245901638955
21:58,276.01,72.85714285713902
21:59,276.1,73.2394366197152
22:01,275.83,67.97385620914768
22:02,275.87,64.23357664233286
22:04,275.7,62.85714285714146
22:05,275.68,61.428571428569974
22:06,275.88,64.93506493506297
22:07,275.84,62.82051282051067
22:08,275.87,62.82051282051067
22:09,275.79,62.82051282051296
22:10,275.87,61.073825503354676
22:11,275.82,54.01459854014613
22:12,275.84,53.676470588233855
22:13,275.84,50.78124999999923
22:14,275.95,47.50000000000012
22:15,275.84,39.344262295080746
22:16,275.52,37.79527559055146
22:17,275.47,34.375000000000554
22:18,275.67,48.85496183206207
22:19,275.95,58.59872611464945
22:20,275.87,49.6551724137934
22:21,275.965,54.15282392026611
22:22,275.99,54.00000000000045
22:23,275.975,56.445993031359464
22:24,276.0,54.710144927536476
22:25,276.2,62.41830065359577
22:26,276.16,60.32258064516397
22:27,276.1,58.07453416149295
22:28,276.11,55.298013245034575
22:29,276.12,59.929078014186864
22:30,276.06,73.47826086957005
22:31,276.28,80.68181818182023
22:32,276.61,82.41379310345098
22:33,276.54,73.79032258064845
22:34,276.7,81.43939393939621
22:35,276.81,81.64794007490923
22:36,276.81,81.29770992366653
22:37,276.81,82.23938223938389
22:38,276.93,83.45323741007388
22:39,276.945,80.91286307054148
22:40,277.06,85.15624999999986
22:41,277.07,89.43089430894312
22:42,277.25,90.7142857142859
22:43,277.27,90.78014184397175
