Date,Close,SMA30,SMA100
2019-04-22,290.31,,
2019-04-23,292.85,,
2019-04-24,292.23,,
2019-04-25,292.08,,
2019-04-26,293.44,,
2019-04-29,293.78,,
2019-04-30,293.96,,
2019-05-01,291.84,,
2019-05-02,291.27,,
2019-05-03,294.02,,
2019-05-06,292.87,,
2019-05-07,288.04,,
2019-05-08,287.56,,
2019-05-09,286.75,,
2019-05-10,288.03,,
2019-05-13,280.9905,,
2019-05-14,283.33,,
2019-05-15,285.06,,
2019-05-16,287.63,,
2019-05-17,285.9,,
2019-05-20,283.97,,
2019-05-21,286.49,,
2019-05-22,285.62,,
2019-05-23,282.27,,
2019-05-24,282.8,,
2019-05-28,280.31,,
2019-05-29,278.38,,
2019-05-30,279.05,,
2019-05-31,275.37,,
2019-06-03,274.54,286.69135000000006,
2019-06-04,280.52,286.36501666666675,
2019-06-05,282.9,286.03335000000004,
2019-06-06,284.74,285.7836833333334,
2019-06-07,287.63,285.6353500000001,
2019-06-10,288.9305,285.4850333333334,
2019-06-11,288.89,285.3220333333333,
2019-06-12,288.36,285.1353666666667,
2019-06-13,289.65,285.0623666666667,
2019-06-14,289.19,284.99303333333336,
2019-06-17,289.44,284.8403666666667,
2019-06-18,292.29,284.8210333333334,
2019-06-19,293.05,284.9880333333333,
2019-06-20,295.84,285.2640333333333,
2019-06-21,294.08,285.5083666666667,
2019-06-24,293.64,285.69536666666664,
2019-06-25,290.79,286.0220166666667,
2019-06-26,290.47,286.2600166666667,
2019-06-27,291.54,286.4760166666667,
2019-06-28,293.1,286.65835000000004,
2019-07-01,295.61,286.98201666666677,
2019-07-02,296.46,287.3983500000001,
2019-07-03,298.76,287.8073500000001,
2019-07-05,298.36,288.23201666666677,
2019-07-08,296.86,288.7183500000001,
2019-07-09,297.26,289.2003500000001,
2019-07-10,298.61,289.81035000000014,
2019-07-11,299.3,290.5076833333335,
2019-07-12,300.68,291.22868333333355,
2019-07-15,300.76,292.07501666666684,
2019-07-16,299.74,292.9150166666668,
2019-07-17,297.77,293.4900166666668,
2019-07-18,298.85,294.0216833333335,
2019-07-19,297.12,294.4343500000002,
2019-07-22,297.92,294.77735000000024,
2019-07-23,299.96,295.1450000000002,
2019-07-24,301.38,295.5613333333335,
2019-07-25,299.9702,295.94834000000014,
2019-07-26,301.99,296.3596733333335,
2019-07-29,301.48,296.7693400000001,
2019-07-30,300.82,297.1486733333334,
2019-07-31,297.38,297.31834000000003,
2019-08-01,294.88,297.37934000000007,
2019-08-02,292.76,297.2766733333334,
2019-08-05,284.04,296.94200666666677,
2019-08-06,287.77,296.7463400000001,
2019-08-07,288.03,296.6543400000001,
2019-08-08,293.55,296.75700666666677,
2019-08-09,291.59,296.75867333333343,
2019-08-12,288.1,296.59200666666675,
2019-08-13,292.43,296.48600666666675,
2019-08-14,283.92,296.06800666666675,
2019-08-15,284.69,295.59900666666675,
2019-08-16,288.87,295.28267333333343,
2019-08-19,292.32,295.1313400000001,
2019-08-20,290.05,294.8910066666667,
2019-08-21,292.43,294.6850066666667,
2019-08-22,292.31,294.4520066666667,
2019-08-23,284.81,293.9230066666667,
2019-08-26,287.97,293.4966733333333,
2019-08-27,286.84,293.06667333333337,
2019-08-28,288.83,292.7686733333333,
2019-08-29,292.56,292.5590066666666,
2019-08-30,292.46,292.40367333333324,
2019-09-03,290.77,292.1653399999999,
2019-09-04,293.97,291.96567333333326,
2019-09-05,297.82,291.84700666666663,
2019-09-06,298.07,291.7836666666666,
2019-09-09,298.15,291.6556666666666,
2019-09-10,298.2,291.54633333333334,
2019-09-11,300.29,291.5286666666667,291.31311200000005
2019-09-12,301.27,291.6583333333334,291.42271200000005
2019-09-13,301.05,291.8640000000001,291.5047120000001
2019-09-16,300.16,292.1106666666667,291.5840120000001
2019-09-17,300.94,292.67400000000004,291.6726120000001
2019-09-18,301.1,293.1183333333334,291.74921200000006
2019-09-19,301.06,293.55266666666665,291.8220120000001
2019-09-20,298.13,293.70533333333333,291.8637120000001
2019-09-23,298.25,293.9273333333333,291.9278120000001
2019-09-24,295.81,294.1843333333333,291.9732120000001
