Date,Close,SMA,STD,Upper,Lower
2018-02-08,329.61,,,,
2018-02-09,333.09,,,,
2018-02-12,343.69,,,,
2018-02-13,343.19,,,,
2018-02-14,344.95,,,,
2018-02-15,356.55,,,,
2018-02-16,354.93,,,,
2018-02-20,353.06,,,,
2018-02-21,352.24,,,,
2018-02-22,355.85,,,,
2018-02-23,356.71,,,,
2018-02-26,363.41,,,,
2018-02-27,364.45,,,,
2018-02-28,362.31,,,,
2018-03-01,349.87,,,,
2018-03-02,344.7,,,,
2018-03-05,353.57,,,,
2018-03-06,349.06,,,,
2018-03-07,347.06,,,,
2018-03-08,348.68,350.34900000000005,9.073043300725619,368.4950866014513,332.2029133985488
2018-03-09,354.53,351.5950000000001,7.679112133436705,366.9532242668735,336.23677573312665
2018-03-12,344.26,352.15350000000007,6.591602532568879,365.33670506513783,338.9702949348623
2018-03-13,338.75,351.9065000000001,7.005028475842794,365.9165569516857,337.8964430483145
2018-03-14,330.28,351.2610000000001,8.321604033130303,367.9042080662607,334.61779193373945
2018-03-15,329.91,350.5090000000001,9.515801761170442,369.54060352234103,331.4773964776592
2018-03-16,329.8,349.1715000000001,10.455545129134489,370.0825902582691,328.2604097417311
2018-03-19,331.77,348.01350000000014,11.049845569294737,370.1131911385896,325.91380886141064
2018-03-20,337.81,347.2510000000001,11.208311718494743,369.6676234369896,324.8343765630106
2018-03-21,337.22,346.5000000000001,11.358626677552135,369.2172533551044,323.78274664489584
2018-03-22,319.6,344.6875000000001,12.611260580174033,369.91002116034815,319.4649788396521
2018-03-23,320.85,342.89450000000016,13.340131173899328,369.5747623477988,316.2142376522015
2018-03-26,328.96,341.17200000000014,12.763367234311366,366.6987344686229,315.6452655313774
2018-03-27,321.12,339.00550000000015,12.272155678608302,363.54981135721675,314.46118864278355
2018-03-28,319.97,336.88850000000014,11.677975344977074,360.2444506899543,313.53254931004597
2018-03-29,327.84,335.78700000000015,11.425311282181084,358.63762256436235,312.93637743563795
2018-04-02,322.23,334.66350000000017,11.606084282324439,357.87566856464906,311.4513314353513
2018-04-03,330.7,333.52000000000015,10.739558944192568,354.9991178883853,312.040882111615
2018-04-04,327.41,332.4375000000001,10.166582966293209,352.77066593258655,312.1043340674137
2018-04-05,336.39,331.9040000000001,9.624368960858353,351.15273792171683,312.6552620782834
2018-04-06,325.96,330.76800000000014,8.849704485104624,348.46740897020936,313.0685910297909
2018-04-09,322.54,329.1685000000001,7.033481787324693,343.2354635746495,315.10153642535073
2018-04-10,334.71,328.69100000000014,6.233703722929063,341.15840744585824,316.22359255414204
