Date,Open,High,Low,Close,Volume,OpenInterest
2020-05-01,175.8,178.64,174.01,174.5,33950716,0.0
2020-05-04,174.49,179,173.8,178.84,53648238,0.0
2020-05-05,180.62,183.65,179.9,180.76,33345354,0.0
2020-05-06,182.08,184.2,181.6306,182.49,58901458,0.0
2020-05-07,184.17,186.5,182.58,183.6078,48490207,0.0
2020-05-08,184.9797,185,183.36,184.68,25074514,0.0
2020-05-11,183.15,187.51,182.85,186.65,50846893,0.0
2020-05-12,186.8,187.04,182.35,182.38,25981524,0.0
2020-05-13,182.55,184.05,176.54,179.78,77983499,0.0
2020-05-14,177.54,180.69,175.68,180.61,67951569,0.0
2020-05-15,179.06,187.06,177,183.39,73296528,0.0
2020-05-18,185.75,186.2,183.96,184.9,30231512,0.0
2020-05-19,185.03,186.59,183.49,183.5,23888140,0.0
2020-05-20,184.81,185.85,183.94,185.66,51732326,0.0
2020-05-21,185.4,186.67,183.3,183.49,25273422,0.0
2020-05-22,183.19,184.46,182.54,183.51,18361237,0.0
2020-05-26,186.34,186.5,181.1,181.56,28773423,0.0
2020-05-27,180.2,181.9877,176.6,181.81,34654683,0.0
2020-05-28,180.74,184.1474,180.38,181.27,54218236,0.0
2020-05-29,182.73,184.27,180.41,183.96,29098645,0.0
2020-06-01,182.54,183,181.46,182.86,20137325,0.0
2020-06-02,184.25,185,181.35,185,50070219,0.0
2020-06-03,184.815,185.94,183.58,185.36,22722209,0.0
2020-06-04,184.3,185.84,182.3,182.95,49455619,0.0
2020-06-05,182.62,187.73,182.01,187.5,66044279,0.0
2020-06-08,185.94,188.55,184.44,188.47,52985040,0.0
2020-06-09,188,190.7,187.2605,190.07,51414137,0.0
2020-06-10,191.125,198.52,191.01,196.82,39155761,0.0
2020-06-11,193.13,195.76,186.24,186.47,88735679,0.0
2020-06-12,190.54,191.72,188.13,188.14,10546675,0.0
2020-06-15,184.58,190.82,184.01,189.09,27287668,0.0
2020-06-16,192.89,195.58,191.46,193.67,34909883,0.0
2020-06-17,195.03,196.32,193.69,194.2,21175962,0.0
2020-06-18,194,196.49,194,196.32,37860859,0.0
2020-06-19,198.59,199.29,194.37,195.03,69471150,0.0
2020-06-22,195.79,200.76,195.2301,200.58,26980577,0.0
2020-06-23,202.09,203.95,201.425,201.889,27611231,0.0
2020-06-24,201.6043,203.25,196.56,197.84,30960564,0.0
2020-06-25,197.8,200.61,195.4675,200.36,23934120,0.0
2020-06-26,199.73,199.89,194.88,196.33,37651876,0.0
2020-06-29,195.78,198.53,193.55,198.5,22635986,0.0
2020-06-30,197.8816,204.4,197.74,203.5,26157887,0.0
2020-07-01,203.14,206.35,201.77,204.66,26758698,0.0
2020-07-02,205.68,208.02,205,206.21,25117323,0.0
2020-07-06,208.8335,211.13,208.09,210.69,26520093,0.0
2020-07-07,210.45,214.67,207.99,208.24,28760244,0.0
2020-07-08,210.07,213.26,208.69,212.84,28227213,0.0
2020-07-09,216.33,216.38,211.47,214.4,29002968,0.0
2020-07-10,213.62,214.08,211.08,213.65,23260516,0.0
2020-07-13,214.48,215.8,206.5,207.1,33360005,0.0
2020-07-14,206.13,208.85,202.03,208.39,33022403,0.0
2020-07-15,209.56,211.33,205.03,208.05,28638402,0.0
2020-07-16,205.4,205.7,202.31,203.88,26229978,0.0
2020-07-17,204.47,205.04,201.39,202.87,27682275,0.0
2020-07-20,205,212.3,203.01,211.49,30212430,0.0
2020-07-21,213.66,213.94,208.03,208.75,32788138,0.0
2020-07-22,209.2,212.3,208.39,211.7533,38475627,0.0
2020-07-23,207.19,210.92,202.19,202.6,44102464,0.0
2020-07-24,200.42,202.86,197.51,201.3,36899369,0.0
2020-07-27,201.47,203.97,200.86,203.85,25380708,0.0
2020-07-28,203.61,204.7,201.74,201.74,20736836,0.0
2020-07-29,202.5,204.65,202.01,204.06,17736721,0.0
2020-07-30,201,204.46,199.57,203.89,22636526,0.0
2020-07-31,204.4,205.1,199.01,205.1,41856673,0.0
2020-08-03,211.52,217.64,210.44,216.54,58751854,0.0
2020-08-04,214.17,214.77,210.31,213.35,44497157,0.0
2020-08-05,214.9,215,211.57,212.95,25586251,0.0
2020-08-06,212.34,216.3705,211.55,216.35,28392245,0.0
2020-08-07,214.85,215.7,210.93,212.44,24613984,0.0
2020-08-10,208.91,210.73,206.35,208.33,24836201,0.0
2020-08-11,207.155,207.65,203.14,203.33,31829739,0.0
2020-08-12,205.29,210.28,204.75,209.29,24332646,0.0
2020-08-13,209.44,211.35,208.15,208.72,20253372,0.0
2020-08-14,208.76,209.59,207.51,208.89,15731496,0.0
2020-08-17,209.6,211.1874,208.915,210.2492,16406243,0.0
2020-08-18,210.53,212.36,209.21,211.48,17160224,0.0
2020-08-19,211.49,212.1,209.25,209.7,21610351,0.0
2020-08-20,209.54,215,208.91,214.55,22242269,0.0
2020-08-21,213.86,216.25,212.85,213.02,28938393,0.0
2020-08-24,214.79,215.52,212.43,213.71,21225637,0.0
2020-08-25,213.1,216.61,213.1,216.4564,19095068,0.0
2020-08-26,217.88,222.09,217.36,221.15,32650657,0.0
2020-08-27,222.89,231.15,219.4,226.57,53708988,0.0
2020-08-28,228.18,230.644,226.58,228.94,22496097,0.0
2020-08-31,227,228.7,224.31,225.06,22743408,0.0
2020-09-01,225.51,227.45,224.43,227.32,21619677,0.0
2020-09-02,227.97,232.86,227.35,231.46,29757321,0.0
2020-09-03,229.27,229.31,214.9602,217.3,49536774,0.0
2020-09-04,215.1,218.3599,205.19,214.14,52517540,0.0
2020-09-08,206.5,210.03,202.2,202.65,45494926,0.0
2020-09-09,207.6,214.8399,206.7,211.18,38564566,0.0
